study_id,type,name,label,url,filename,quality_flags
25,pdf,Rwanda MICS_Preliminary Report.pdf,Rwanda MICS_Preliminary Report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/25/download/97,Rwanda MICS_Preliminary Report.pdf,
25,pdf,Rwanda_MICS_tables.pdf,Rwanda_MICS_tables.pdf,https://microdata.statistics.gov.rw/index.php/catalog/25/download/98,Rwanda_MICS_tables.pdf,
6,pdf,rwa_Women.pdf,rwa_Women.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/26,rwa_Women.pdf,
6,pdf,rwa_Man.pdf,rwa_Man.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/27,rwa_Man.pdf,
6,pdf,rwa_Household.pdf,rwa_Household.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/28,rwa_Household.pdf,
6,pdf,DHS_1992_Report.pdf,DHS_1992_Report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/29,DHS_1992_Report.pdf,
6,pdf,Plan de sondage11AnnexeB.pdf,Plan de sondage11AnnexeB.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/32,Plan de sondage11AnnexeB.pdf,
6,pdf,DHS_Key Findings_1992.pdf,DHS_Key Findings_1992.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/30,DHS_Key Findings_1992.pdf,
6,pdf,Erreurs de sondage12AnnexeC.pdf,Erreurs de sondage12AnnexeC.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/31,Erreurs de sondage12AnnexeC.pdf,
6,pdf,Data quality tables13AnnexeD.pdf,Data quality tables13AnnexeD.pdf,https://microdata.statistics.gov.rw/index.php/catalog/6/download/33,Data quality tables13AnnexeD.pdf,
120,pdf,Finscope consumer 2024 Final QNR 29 June 2025_Shared_NISR.pdf,Finscope consumer 2024 Final QNR 29 June 2025_Shared_NISR.pdf,https://microdata.statistics.gov.rw/index.php/catalog/120/download/1088,Finscope consumer 2024 Final QNR 29 June 2025_Shared_NISR.pdf,
120,pdf,Finscope-Final-Report__10_07_2024-1.pdf,Finscope-Final-Report__10_07_2024-1.pdf,https://microdata.statistics.gov.rw/index.php/catalog/120/download/1085,Finscope-Final-Report__10_07_2024-1.pdf,
120,pdf,FinScope-2024-Presantation.pdf,FinScope-2024-Presantation.pdf,https://microdata.statistics.gov.rw/index.php/catalog/120/download/1089,FinScope-2024-Presantation.pdf,
9,pdf,Quest coll vers .Anglaise.pdf,Quest coll vers .Anglaise.pdf,https://microdata.statistics.gov.rw/index.php/catalog/9/download/38,Quest coll vers .Anglaise.pdf,
9,pdf,Quest. version anglaise..pdf,Quest. version anglaise..pdf,https://microdata.statistics.gov.rw/index.php/catalog/9/download/39,Quest. version anglaise..pdf,
9,pdf,Census_A synthesis report_0.pdf,Census_A synthesis report_0.pdf,https://microdata.statistics.gov.rw/index.php/catalog/9/download/40,Census_A synthesis report_0.pdf,
9,zip,TablesEnglish.zip,TablesEnglish.zip,https://microdata.statistics.gov.rw/index.php/catalog/9/download/43,TablesEnglish.zip,
79,pdf,rwa-nisr- rhadpa-report.pdf,rwa-nisr- rhadpa-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/79/download/764,rwa-nisr- rhadpa-report.pdf,
75,doc,q-eicv-2013-2014-qustionnaire-eng.doc,q-eicv-2013-2014-qustionnaire-eng.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/726,q-eicv-2013-2014-qustionnaire-eng.doc,
75,doc,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/727,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,
75,doc,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/728,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,
75,pdf,eicv-2013-2014-main-indicators-report.pdf,eicv-2013-2014-main-indicators-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/717,eicv-2013-2014-main-indicators-report.pdf,
75,pdf,eicv-2013-2014-economic-activities-thematic-report.pdf,eicv-2013-2014-economic-activities-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/718,eicv-2013-2014-economic-activities-thematic-report.pdf,
75,pdf,eicv-2013-2014-education-thematic-report.pdf,eicv-2013-2014-education-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/719,eicv-2013-2014-education-thematic-report.pdf,
75,pdf,eicv-2013-2014-environment-thematic-report.pdf,eicv-2013-2014-environment-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/720,eicv-2013-2014-environment-thematic-report.pdf,
75,pdf,eicv-2013-2014-poverty-profile-report.pdf,eicv-2013-2014-poverty-profile-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/721,eicv-2013-2014-poverty-profile-report.pdf,
75,pdf,eicv-2013-2014-poverty-trend-analysis-report.pdf,eicv-2013-2014-poverty-trend-analysis-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/722,eicv-2013-2014-poverty-trend-analysis-report.pdf,
75,pdf,eicv-2013-2014-gender-thematic-report.pdf,eicv-2013-2014-gender-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/723,eicv-2013-2014-gender-thematic-report.pdf,
75,pdf,eicv-2013-2014-utilities-and-amenities-thematic-report.pdf,eicv-2013-2014-utilities-and-amenities-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/724,eicv-2013-2014-utilities-and-amenities-thematic-report.pdf,
75,pdf,eicv-2013-2014-youth-thematic-report.pdf,eicv-2013-2014-youth-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/75/download/725,eicv-2013-2014-youth-thematic-report.pdf,
75,doc,eicv-2013-2014-controller-manual.doc,eicv-2013-2014-controller-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/729,eicv-2013-2014-controller-manual.doc,
75,doc,eicv-2013-2014-enumerator-manual.doc,eicv-2013-2014-enumerator-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/730,eicv-2013-2014-enumerator-manual.doc,
75,doc,eicv-2013-2014-controller-report-form.doc,eicv-2013-2014-controller-report-form.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/731,eicv-2013-2014-controller-report-form.doc,
75,doc,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/732,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,
75,doc,eicv-2013-2014-listing-forms.doc,eicv-2013-2014-listing-forms.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/733,eicv-2013-2014-listing-forms.doc,
75,doc,eicv-2013-2014-listing-manual.doc,eicv-2013-2014-listing-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/734,eicv-2013-2014-listing-manual.doc,
75,doc,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/735,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,
75,doc,eicv-2013-2014-selecting forms.doc,eicv-2013-2014-selecting forms.doc,https://microdata.statistics.gov.rw/index.php/catalog/75/download/736,eicv-2013-2014-selecting forms.doc,
73,doc,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/698,q-eicv-2013-2014-questionnaire-part-B-kiny.doc,
73,doc,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/699,q-eicv-2013-2014-questionnaire-part-A-kiny.doc,
73,doc,q-eicv-2013-2014-qustionnaire-eng.doc,q-eicv-2013-2014-qustionnaire-eng.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/700,q-eicv-2013-2014-qustionnaire-eng.doc,
73,pdf,eicv-2013-2014-social-protection-thematic-report.pdf,eicv-2013-2014-social-protection-thematic-report.pdf,https://microdata.statistics.gov.rw/index.php/catalog/73/download/685,eicv-2013-2014-social-protection-thematic-report.pdf,
73,doc,eicv-2013-2014-controller-report-form.doc,eicv-2013-2014-controller-report-form.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/670,eicv-2013-2014-controller-report-form.doc,
73,doc,eicv-2013-2014-selecting forms.doc,eicv-2013-2014-selecting forms.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/677,eicv-2013-2014-selecting forms.doc,
73,doc,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/678,eicv-2013-2014-panel-forms- _ PLS2 -PLS3 and PLS4.doc,
73,doc,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/680,eicv-2013-2014-hh-sample-in-Panel-cluster.doc,
73,doc,eicv-2013-2014-controller-report-form.doc,eicv-2013-2014-controller-report-form.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/682,eicv-2013-2014-controller-report-form.doc,
73,doc,eicv-2013-2014-listing-manual.doc,eicv-2013-2014-listing-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/691,eicv-2013-2014-listing-manual.doc,
73,doc,eicv-2013-2014-listing-forms.doc,eicv-2013-2014-listing-forms.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/693,eicv-2013-2014-listing-forms.doc,
73,doc,eicv-2013-2014-controller-report-form.doc,eicv-2013-2014-controller-report-form.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/694,eicv-2013-2014-controller-report-form.doc,
73,doc,eicv-2013-2014-enumerator-manual.doc,eicv-2013-2014-enumerator-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/695,eicv-2013-2014-enumerator-manual.doc,
73,doc,eicv-2013-2014-controller-manual.doc,eicv-2013-2014-controller-manual.doc,https://microdata.statistics.gov.rw/index.php/catalog/73/download/696,eicv-2013-2014-controller-manual.doc,
82,doc,q-eicv5-eng.doc,q-eicv5-eng.doc,https://microdata.statistics.gov.rw/index.php/catalog/82/download/793,q-eicv5-eng.doc,
82,pdf,rwa-nisr-eicv5-main-indicator-report-2016-2017.pdf,rwa-nisr-eicv5-main-indicator-report-2016-2017.pdf,https://microdata.statistics.gov.rw/index.php/catalog/82/download/788,rwa-nisr-eicv5-main-indicator-report-2016-2017.pdf,
82,pdf,rwa-nisr-eicv5-poverty-profile-report-2016-2017.pdf,rwa-nisr-eicv5-poverty-profile-report-2016-2017.pdf,https://microdata.statistics.gov.rw/index.php/catalog/82/download/789,rwa-nisr-eicv5-poverty-profile-report-2016-2017.pdf,
